cell_name,annotation
153_125-0,Dermomyotome
153_126-0,Dermomyotome
153_127-0,Dermomyotome
153_128-0,Dermomyotome
153_129-0,Dermomyotome
153_130-0,Dermomyotome
153_131-0,Dermomyotome
153_132-0,Dermomyotome
153_133-0,Mesenchyme
153_134-0,Mesenchyme
153_135-0,Mesenchyme
153_136-0,Mesenchyme
153_137-0,Mesenchyme
153_138-0,Mesenchyme
153_139-0,Mesenchyme
153_140-0,Mesenchyme
153_141-0,Mesenchyme
153_89-0,Connective tissue
153_90-0,Connective tissue
153_91-0,Connective tissue
153_93-0,Connective tissue
153_94-0,Dermomyotome
153_95-0,Dermomyotome
153_96-0,Dermomyotome
153_97-0,Dermomyotome
153_98-0,Dermomyotome
153_99-0,Dermomyotome
154_100-0,Dermomyotome
154_101-0,Dermomyotome
154_102-0,Dermomyotome
154_103-0,Dermomyotome
154_104-0,Dermomyotome
154_105-0,Dermomyotome
154_106-0,AGM
154_107-0,Dermomyotome
154_108-0,Dermomyotome
154_116-0,Dermomyotome
154_117-0,AGM
154_118-0,Dermomyotome
154_119-0,Dermomyotome
154_120-0,Dermomyotome
154_121-0,Dermomyotome
154_122-0,Dermomyotome
154_125-0,Dermomyotome
154_126-0,Dermomyotome
154_127-0,Dermomyotome
154_128-0,Dermomyotome
154_129-0,Dermomyotome
154_130-0,Dermomyotome
154_131-0,Dermomyotome
154_132-0,Dermomyotome
154_133-0,Dermomyotome
154_134-0,Dermomyotome
154_135-0,Dermomyotome
154_136-0,Mesenchyme
154_137-0,Mesenchyme
154_138-0,Mesenchyme
154_139-0,Mesenchyme
154_140-0,Mesenchyme
154_141-0,Mesenchyme
154_142-0,Mesenchyme
154_143-0,Mesenchyme
154_88-0,Connective tissue
154_89-0,Connective tissue
154_90-0,Connective tissue
154_91-0,Connective tissue
154_94-0,Dermomyotome
154_95-0,Dermomyotome
154_96-0,Dermomyotome
154_97-0,Dermomyotome
154_98-0,Dermomyotome
154_99-0,Dermomyotome
155_100-0,Dermomyotome
155_101-0,AGM
155_102-0,AGM
155_103-0,AGM
155_104-0,AGM
155_105-0,AGM
155_106-0,AGM
155_107-0,AGM
155_108-0,AGM
155_115-0,Dermomyotome
155_116-0,AGM
155_117-0,AGM
155_118-0,AGM
155_119-0,AGM
155_120-0,AGM
155_121-0,Dermomyotome
155_122-0,Dermomyotome
155_124-0,Dermomyotome
155_125-0,Dermomyotome
155_126-0,Dermomyotome
155_127-0,Dermomyotome
155_128-0,Dermomyotome
155_129-0,Dermomyotome
155_130-0,Dermomyotome
155_131-0,Dermomyotome
155_132-0,Dermomyotome
155_133-0,Dermomyotome
155_134-0,Dermomyotome
155_135-0,Dermomyotome
155_136-0,Dermomyotome
155_137-0,Dermomyotome
155_138-0,Mesenchyme
155_139-0,Mesenchyme
155_140-0,Mesenchyme
155_141-0,Mesenchyme
155_142-0,Mesenchyme
155_143-0,Mesenchyme
155_144-0,Mesenchyme
155_87-0,Connective tissue
155_88-0,Connective tissue
155_89-0,Connective tissue
155_90-0,Connective tissue
155_91-0,Dermomyotome
155_92-0,Mesenchyme
155_93-0,Dermomyotome
155_94-0,Dermomyotome
155_95-0,Dermomyotome
155_96-0,Dermomyotome
155_97-0,Dermomyotome
155_98-0,Dermomyotome
155_99-0,Dermomyotome
156_100-0,AGM
156_101-0,AGM
156_102-0,AGM
156_103-0,AGM
156_104-0,AGM
156_105-0,AGM
156_106-0,AGM
156_107-0,AGM
156_108-0,AGM
156_109-0,AGM
156_115-0,AGM
156_116-0,AGM
156_117-0,AGM
156_118-0,AGM
156_119-0,AGM
156_120-0,AGM
156_121-0,AGM
156_122-0,AGM
156_124-0,Dermomyotome
156_125-0,Dermomyotome
156_126-0,Dermomyotome
156_127-0,Dermomyotome
156_128-0,Dermomyotome
156_129-0,Dermomyotome
156_130-0,Dermomyotome
156_131-0,Dermomyotome
156_132-0,Dermomyotome
156_133-0,Dermomyotome
156_134-0,Dermomyotome
156_135-0,Dermomyotome
156_136-0,Dermomyotome
156_137-0,Dermomyotome
156_138-0,Dermomyotome
156_139-0,Mesenchyme
156_140-0,Mesenchyme
156_141-0,Mesenchyme
156_142-0,Mesenchyme
156_143-0,Mesenchyme
156_144-0,Mesenchyme
156_145-0,Mesenchyme
156_146-0,Mesenchyme
156_86-0,Connective tissue
156_87-0,Connective tissue
156_88-0,Connective tissue
156_89-0,Connective tissue
156_90-0,Connective tissue
156_91-0,Dermomyotome
156_92-0,Dermomyotome
156_93-0,Dermomyotome
156_94-0,Dermomyotome
156_95-0,Dermomyotome
156_96-0,Dermomyotome
156_97-0,Dermomyotome
156_98-0,Dermomyotome
156_99-0,Dermomyotome
157_100-0,AGM
157_101-0,AGM
