cell_name,annotation
186_136-0,Neural crest
186_137-0,Neural crest
186_138-0,Neural crest
186_139-0,Neural crest
186_140-0,Neural crest
186_141-0,Neural crest
186_142-0,Neural crest
186_143-0,Neural crest
186_144-0,Neural crest
186_145-0,Neural crest
186_146-0,Neural crest
186_147-0,Neural crest
186_148-0,Neural crest
186_149-0,Neural crest
186_150-0,Neural crest
186_151-0,Neural crest
186_152-0,Neural crest
186_153-0,Neural crest
187_108-0,Heart
187_109-0,Heart
187_110-0,Heart
187_111-0,Heart
187_112-0,Heart
187_113-0,Heart
187_114-0,Heart
187_115-0,Heart
187_116-0,Heart
187_117-0,Heart
187_118-0,Heart
187_119-0,Heart
187_120-0,Heart
187_121-0,Heart
187_122-0,Heart
187_123-0,Heart
187_124-0,Heart
187_125-0,Heart
187_126-0,Heart
187_127-0,Heart
187_134-0,Neural crest
187_135-0,Neural crest
187_136-0,Neural crest
187_137-0,Neural crest
187_138-0,Neural crest
187_139-0,Neural crest
187_140-0,Neural crest
187_141-0,Neural crest
187_142-0,Neural crest
187_143-0,Neural crest
187_144-0,Neural crest
187_145-0,Neural crest
187_146-0,Neural crest
187_147-0,Neural crest
187_148-0,Neural crest
187_149-0,Neural crest
187_150-0,Neural crest
187_151-0,Neural crest
187_152-0,Neural crest
187_153-0,Neural crest
188_108-0,Heart
188_109-0,Heart
188_110-0,Heart
188_111-0,Heart
188_112-0,Heart
188_113-0,Heart
188_114-0,Heart
188_115-0,Heart
188_116-0,Heart
188_117-0,Heart
188_118-0,Heart
188_119-0,Heart
188_120-0,Heart
188_121-0,Heart
188_122-0,Heart
188_123-0,Heart
188_124-0,Heart
188_125-0,Heart
188_126-0,Heart
188_127-0,Heart
188_134-0,Neural crest
188_135-0,Neural crest
188_136-0,Neural crest
188_137-0,Neural crest
188_138-0,Neural crest
188_139-0,Neural crest
188_140-0,Neural crest
188_141-0,Neural crest
188_142-0,Neural crest
188_143-0,Neural crest
188_144-0,Neural crest
188_145-0,Neural crest
188_146-0,Neural crest
188_147-0,Neural crest
188_148-0,Neural crest
188_149-0,Neural crest
188_150-0,Neural crest
188_151-0,Neural crest
188_152-0,Neural crest
188_153-0,Neural crest
189_108-0,Heart
189_109-0,Heart
189_110-0,Heart
189_111-0,Heart
189_112-0,Heart
189_113-0,Heart
189_114-0,Heart
189_115-0,Heart
189_116-0,Heart
189_117-0,Heart
189_118-0,Heart
189_119-0,Heart
189_120-0,Heart
189_121-0,Heart
189_122-0,Heart
189_123-0,Heart
189_124-0,Heart
189_125-0,Heart
189_126-0,Heart
189_127-0,Heart
189_134-0,Neural crest
189_135-0,Neural crest
189_136-0,Neural crest
189_137-0,Neural crest
189_138-0,Neural crest
189_139-0,Neural crest
189_140-0,Neural crest
189_141-0,Neural crest
189_142-0,Neural crest
189_143-0,Neural crest
189_144-0,Neural crest
189_145-0,Neural crest
189_146-0,Neural crest
189_147-0,Neural crest
189_148-0,Neural crest
189_149-0,Neural crest
189_150-0,Neural crest
189_151-0,Neural crest
189_152-0,Neural crest
189_153-0,Neural crest
190_108-0,Heart
190_109-0,Heart
190_110-0,Heart
190_111-0,Heart
190_112-0,Heart
190_113-0,Heart
190_114-0,Heart
190_115-0,Heart
190_116-0,Heart
190_117-0,Heart
190_118-0,Heart
190_119-0,Heart
190_120-0,Heart
190_121-0,Heart
190_122-0,Heart
190_123-0,Heart
190_124-0,Heart
190_125-0,Heart
190_126-0,Heart
190_133-0,Neural crest
190_134-0,Neural crest
190_135-0,Neural crest
190_136-0,Neural crest
190_137-0,Neural crest
190_138-0,Neural crest
190_139-0,Neural crest
190_140-0,Neural crest
190_141-0,Neural crest
190_142-0,Neural crest
190_143-0,Neural crest
190_144-0,Neural crest
190_145-0,Neural crest
190_146-0,Neural crest
190_147-0,Neural crest
190_148-0,Neural crest
190_149-0,Neural crest
190_150-0,Neural crest
190_151-0,Neural crest
190_152-0,Neural crest
190_153-0,Neural crest
191_108-0,Heart
191_109-0,Heart
191_110-0,Heart
191_111-0,Heart
191_112-0,Heart
191_113-0,Heart
191_114-0,Heart
191_115-0,Heart
191_116-0,Heart
191_117-0,Heart
191_118-0,Heart
191_119-0,Heart
191_120-0,Heart
191_121-0,Heart
191_122-0,Heart
191_123-0,Heart
191_125-0,Heart
191_126-0,Heart
191_133-0,Neural crest
191_134-0,Neural crest
191_135-0,Neural crest
191_136-0,Neural crest
191_137-0,Neural crest
191_138-0,Neural crest
191_139-0,Neural crest
191_140-0,Neural crest
191_141-0,Neural crest
191_142-0,Neural crest
191_143-0,Neural crest
191_144-0,Neural crest
191_145-0,Neural crest
191_146-0,Neural crest
191_147-0,Neural crest
191_148-0,Neural crest
191_149-0,Neural crest
191_152-0,Neural crest
191_153-0,Neural crest
192_108-0,Heart
192_109-0,Heart
192_110-0,Heart
192_111-0,Heart
192_112-0,Heart
192_113-0,Heart
192_114-0,Heart
192_115-0,Heart
192_116-0,Heart
192_117-0,Heart
192_118-0,Heart
192_119-0,Heart
192_120-0,Heart
192_121-0,Heart
192_122-0,Heart
192_133-0,Neural crest
192_134-0,Neural crest
192_135-0,Neural crest
192_136-0,Neural crest
192_137-0,Neural crest
192_138-0,Neural crest
192_139-0,Neural crest
192_140-0,Neural crest
192_141-0,Neural crest
192_142-0,Neural crest
192_143-0,Neural crest
192_144-0,Neural crest
192_145-0,Neural crest
192_147-0,Neural crest
192_148-0,Neural crest
192_149-0,Neural crest
192_152-0,Neural crest
192_153-0,Neural crest
193_109-0,Heart
193_110-0,Heart
193_111-0,Heart
193_112-0,Heart
193_113-0,Heart
193_114-0,Heart
193_115-0,Heart
193_116-0,Heart
193_117-0,Heart
